M/Z,Intensity
-0.048255025,5.8823529
-0.043734458,5.8823529
-0.039436176,5.8823529
-0.035360179,5.8431373
-0.031506467,5.8705882
-0.02787504,5.8705882
-0.024465897,5.8784314
-0.02127904,5.8823529
-0.018314468,5.8823529
-0.015572181,5.7960784
-0.013052178,5.5294118
-0.010754461,5.5254902
-0.0086790284,5.4078431
-0.0068258809,5.3843137
-0.0051950184,5.1019608
-0.0037864409,4.7529412
-0.0026001483,4.6980392
-0.0016361407,4.5333333
-0.00089441803,4.4117647
-0.00037498034,3.7137255
-7.7827607e-005,3.5215686
2.9598374e-006,2.8862745
0.00015037703,3.1254902
0.00052007918,4.4039216
0.0011120663,4.5058824
0.0019263384,4.8352941
0.0029628954,5.3882353
0.0042217374,5.8901961
0.0057028644,6.7568627
0.0074062763,6.6823529
0.0093319732,6.8117647
0.011479955,7.8588235
0.013850222,8.945098
0.016442774,10.607843
0.01925761,11.243137
0.022294732,11.372549
0.025554139,11.372549
0.02903583,11.176471
0.032739807,9.6823529
0.036666069,7.9647059
0.040814615,5.9921569
0.045185446,4.7294118
0.049778563,3.5176471
0.054593964,2.5686275
0.059631651,1.745098
0.064891622,1.1686275
0.070373878,0.9254902
0.07607842,0.95294118
0.082005246,1.0078431
0.088154357,1.5019608
0.094525753,2.0901961
0.10111943,3.4980392
0.1079354,4.4431373
0.11497365,4.9333333
0.12223419,5.5254902
0.12971701,5.7333333
0.13742211,5.8627451
0.1453495,5.8901961
0.15349918,5.9764706
0.16187114,6.4784314
0.17046539,6.8705882
0.17928192,7.2431373
0.18832073,7.6862745
0.19758183,8.0784314
0.20706522,8.1882353
0.21677089,8.2
0.22669885,8.2078431
0.23684909,8.1372549
0.24722161,7.854902
0.25781642,7.4078431
0.26863352,6.9568627
0.2796729,6.2392157
0.29093456,5.5764706
0.30241851,4.6039216
0.31412475,3.7058824
0.32605327,3.4196078
0.33820407,3.0470588
0.35057716,2.9372549
0.36317254,3.0392157
0.3759902,3.4078431
0.38903014,3.5490196
0.40229237,3.8431373
0.41577689,4.227451
0.42948369,4.5882353
0.44341277,4.7921569
0.45756414,5.4039216
0.4719378,5.8784314
0.48653374,6.0588235
0.50135196,6.2901961
0.51639247,6.454902
0.53165527,6.5372549
0.54714035,6.4901961
0.56284771,6.4
0.57877736,6.3333333
0.5949293,6.3294118
0.61130351,6.3058824
0.62790002,6.2941176
0.64471881,6.2745098
0.66175988,6.1843137
0.67902324,6.0745098
0.69650889,5.972549
0.71421682,5.9137255
0.73214703,5.8980392
0.75029953,5.8980392
0.76867431,5.9411765
0.78727138,6.0078431
0.80609074,6.0980392
0.82513238,6.1411765
0.8443963,6.1176471
0.86388251,6.054902
0.883591,6
0.90352178,5.9333333
0.92367484,5.9019608
0.94405019,5.8784314
0.96464783,5.8627451
0.98546775,5.7529412
1.0065099,5.3372549
1.0277744,4.9098039
1.0492612,4.7019608
1.0709703,4.427451
1.0929016,4.227451
1.1150552,3.9686275
1.1374312,3.8
1.1600294,3.7176471
1.1828498,3.6941176
1.2058926,3.7843137
1.2291577,3.9960784
1.252645,4.3215686
1.2763546,4.6352941
1.3002865,4.8627451
1.3244407,5.5764706
1.3488172,5.9333333
1.373416,6.5137255
1.398237,6.9098039
1.4232803,7.2627451
1.448546,7.572549
1.4740339,7.8509804
1.4997441,8.0156863
1.5256765,8.1372549
1.5518313,8.1647059
1.5782083,8.0470588
1.6048077,7.7960784
1.6316293,7.4039216
1.6586732,6.9921569
1.6859393,6.5333333
1.7134278,5.9098039
1.7411386,5.5254902
1.7690716,4.9058824
1.7972269,4.6901961
1.8256045,4.3372549
1.8542044,3.8627451
1.8830266,3.6235294
1.9120711,3.5333333
1.9413378,3.5058824
1.9708268,3.5098039
2.0005382,3.5254902
2.0304718,3.5803922
2.0606277,3.8627451
2.0910058,4.2901961
2.1216063,4.6745098
2.152429,4.9254902
2.183474,5.5019608
2.2147414,5.8823529
2.246231,6.1333333
2.2779428,6.4352941
2.309877,6.7058824
2.3420335,6.9333333
2.3744122,7.0078431
2.4070132,7.0392157
2.4398365,7.0392157
2.4728821,6.9960784
2.50615,6.8117647
2.5396402,6.6313725
2.5733526,6.3254902
2.6072873,6.0431373
2.6414443,5.8823529
2.6758236,5.8156863
2.7104252,5.5098039
2.7452491,5.1568627
2.7802953,4.9568627
2.8155637,4.8666667
2.8510544,4.8431373
2.8867674,4.8431373
2.9227027,4.9176471
2.9588603,5.0156863
2.9952402,5.1176471
3.0318423,5.2666667
3.0686668,5.454902
3.1057135,5.627451
3.1429825,5.7176471
3.1804738,5.8392157
3.2181874,5.8784314
3.2561232,5.8784314
3.2942814,5.8823529
3.3326618,5.8823529
3.3712645,5.8784314
3.4100895,5.8784314
3.4491368,5.8627451
3.4884064,5.8313725
3.5278982,5.7764706
3.5676124,5.6745098
3.6075488,5.5803922
3.6477075,5.5372549
3.6880885,5.5137255
3.7286918,5.5254902
3.7695173,5.5607843
3.8105652,5.6235294
3.8518353,5.7372549
3.8933278,5.854902
3.9350425,5.8823529
3.9769794,5.8823529
4.0191387,5.9490196
4.0615203,6.0941176
4.1041241,6.1921569
4.1469503,6.2941176
4.1899987,6.3098039
4.2332694,6.3254902
4.2767624,6.2901961
4.3204776,6.2431373
4.3644152,6.1411765
4.408575,5.9607843
4.4529571,5.8823529
4.4975616,5.854902
4.5423882,5.6156863
4.5874372,5.3215686
4.6327085,5
4.678202,4.7686275
4.7239179,4.7098039
4.769856,4.7019608
4.8160164,4.7019608
4.8623991,4.6980392
4.9090041,4.6980392
4.9558313,4.7058824
5.0028809,4.7098039
5.0501527,4.8117647
5.0976468,5.0784314
5.1453632,5.3803922
5.1933019,5.6784314
5.2414629,5.8823529
5.2898461,5.9215686
5.3384517,6.1568627
5.3872795,6.3490196
5.4363296,6.4156863
5.485602,6.4862745
5.5350967,6.5882353
5.5848136,6.6392157
5.6347529,6.6431373
5.6849144,6.5803922
5.7352982,6.4156863
5.7859043,6.2470588
5.8367327,5.9529412
5.8877834,5.8823529
5.9390564,5.8666667
5.9905516,5.7294118
6.0422691,5.4941176
6.0942089,5.3058824
6.146371,5.1764706
6.1987554,5.0627451
6.2513621,5.0156863
6.304191,4.9921569
6.3572423,5.0431373
6.4105158,5.1019608
6.4640116,5.1764706
6.5177297,5.2901961
6.5716701,5.4196078
6.6258327,5.5647059
6.6802177,5.6784314
6.7348249,5.7882353
6.7896544,5.8588235
6.8447062,5.8784314
6.8999803,5.8823529
6.9554767,5.8823529
7.0111954,5.8823529
7.0671363,5.8823529
7.1232995,5.8823529
7.179685,5.8784314
7.2362928,5.8666667
7.2931229,5.8588235
7.3501753,5.8196078
7.4074499,5.7333333
7.4649469,5.6352941
7.5226661,5.5921569
7.5806076,5.5686275
7.6387714,5.5529412
7.6971575,5.5647059
7.7557658,5.5764706
7.8145965,5.6627451
7.8736494,5.745098
7.9329246,5.8627451
7.9924221,5.8784314
8.0521419,5.8823529
8.112084,5.8823529
8.1722484,5.8862745
8.232635,5.8901961
8.2932439,5.8862745
8.3540751,5.8901961
8.4151286,5.8901961
8.4764044,5.8862745
8.5379025,5.8823529
8.5996228,5.8823529
8.6615655,5.8745098
8.7237304,5.8392157
8.7861176,5.7843137
8.8487271,5.5960784
8.9115589,5.4588235
8.9746129,5.4156863
9.0378893,5.254902
9.1013879,5.1960784
9.1651088,5.1686275
9.229052,5.1803922
9.2932175,5.2470588
9.3576053,5.3921569
9.4222153,5.6666667
9.4870477,5.8313725
9.5521023,5.8196078
9.6173792,5.7882353
9.6828784,5.7803922
9.7485999,5.854902
9.8145437,5.9960784
9.8807097,6.0705882
9.947098,5.9647059
10.013709,5.9490196
10.080542,6.054902
10.147597,6.1294118
10.214874,6.054902
10.282374,5.9058824
10.350096,5.8588235
10.41804,5.8862745
10.486207,5.8509804
10.554596,5.7490196
10.623207,5.454902
10.692041,5.3843137
10.761096,5.4823529
10.830374,5.5254902
10.899875,5.5254902
10.969597,5.2588235
11.039542,5.2078431
11.109709,5.3137255
11.180099,5.4784314
11.250711,5.4745098
11.321545,5.4509804
11.392601,5.5607843
11.46388,5.7686275
11.53538,5.854902
11.607104,5.8627451
11.679049,5.8784314
11.751217,5.8784314
11.823607,5.8823529
11.896219,5.8784314
11.969054,5.8823529
12.042111,5.8823529
12.11539,5.8823529
12.188891,5.8823529
12.262615,5.8823529
12.336561,5.8823529
12.410729,5.8823529
12.48512,5.8745098
12.559733,5.8235294
12.634568,5.7176471
12.709625,5.5098039
12.784905,5.5098039
12.860407,5.6078431
12.936131,5.7294118
13.012078,5.8156863
13.088247,5.8156863
13.164638,5.8039216
13.241252,5.827451
13.318087,5.8470588
13.395145,5.854902
13.472426,5.8823529
13.549928,5.8862745
13.627653,5.8823529
13.7056,5.8784314
13.78377,5.8745098
13.862161,5.8745098
13.940775,5.8745098
14.019612,5.8862745
14.09867,5.8862745
14.177951,5.8862745
14.257454,5.8627451
14.33718,5.8156863
14.417127,5.7843137
14.497297,5.6666667
14.57769,5.5607843
14.658304,5.5019608
14.739141,5.5098039
14.8202,5.5490196
14.901482,5.5686275
14.982985,5.572549
15.064711,5.572549
15.14666,5.627451
15.22883,5.7019608
15.311223,5.8117647
15.393838,5.8666667
15.476676,5.8784314
15.559735,5.8823529
15.643017,5.8823529
15.726522,5.8823529
15.810248,5.8823529
15.894197,5.8823529
15.978368,5.8862745
16.062762,5.8862745
16.147377,5.8823529
16.232215,5.8823529
16.317276,5.8823529
16.402558,5.8784314
16.488063,5.8745098
16.57379,5.8470588
16.65974,5.8156863
16.745911,5.7686275
16.832305,5.7215686
16.918921,5.6470588
17.00576,5.5882353
17.092821,5.5294118
17.180104,5.5058824
17.267609,5.5176471
17.355337,5.5372549
17.443287,5.6
17.531459,5.6784314
17.619854,5.7607843
17.708471,5.8039216
17.79731,5.8431373
17.886371,5.8627451
17.975655,5.8745098
18.065161,5.8784314
18.154889,5.8784314
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8823529
18.606865,5.8823529
18.697927,5.8823529
18.789211,5.8705882
18.880717,5.854902
18.972446,5.8509804
19.064397,5.8470588
19.156571,5.8156863
19.248966,5.7882353
19.341584,5.7882353
19.434425,5.7764706
19.527487,5.7607843
19.620772,5.7686275
19.714279,5.8039216
19.808008,5.8313725
19.90196,5.8470588
19.996134,5.8627451
20.09053,5.8784314
20.185149,5.8823529
20.27999,5.8823529
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8823529
20.757528,5.8823529
20.853703,5.8823529
20.950099,5.8784314
21.046718,5.8784314
21.14356,5.8705882
