M/Z,Intensity
-0.048255025,5.8823529
-0.043734458,5.8823529
-0.039436176,5.8823529
-0.035360179,5.841785
-0.031506467,5.8688303
-0.02787504,5.8688303
-0.024465897,5.8688303
-0.02127904,5.8688303
-0.018314468,5.8688303
-0.015572181,5.8553076
-0.013052178,5.5983773
-0.010754461,5.5578093
-0.0086790284,5.4766734
-0.0068258809,5.4225828
-0.0051950184,5.1656525
-0.0037864409,4.8140636
-0.0026001483,4.7058824
-0.0016361407,4.5977011
-0.00089441803,4.4895199
-0.00037498034,3.8269101
-7.7827607e-005,3.5294118
2.9598374e-006,3.0425963
0.00015037703,3.0425963
0.00052007918,4.2866802
0.0011120663,4.4895199
0.0019263384,4.7464503
0.0029628954,5.3820149
0.0042217374,5.8553076
0.0057028644,6.7342799
0.0074062763,6.693712
0.0093319732,6.7478026
0.011479955,7.505071
0.013850222,8.6544963
0.016442774,10.453009
0.01925761,11.196755
0.022294732,11.372549
0.025554139,11.372549
0.02903583,11.331981
0.032739807,10.020284
0.036666069,8.1947262
0.040814615,6.2474645
0.045185446,4.8275862
0.049778563,3.637593
0.054593964,2.6910074
0.059631651,1.9472617
0.064891622,1.1899932
0.070373878,0.86544963
0.07607842,0.82488168
0.082005246,0.86544963
0.088154357,1.3793103
0.094525753,2.0554429
0.10111943,3.3941853
0.1079354,4.4219067
0.11497365,4.9222448
0.12223419,5.5037187
0.12971701,5.6524679
0.13742211,5.8147397
0.1453495,5.8823529
0.15349918,5.9364435
0.16187114,6.382691
0.17046539,6.8559838
0.17928192,7.1534821
0.18832073,7.6538201
0.19758183,7.9783638
0.20706522,8.1812035
0.21677089,8.1947262
0.22669885,8.2082488
0.23684909,8.2082488
0.24722161,7.8972279
0.25781642,7.5456389
0.26863352,7.0588235
0.2796729,6.382691
0.29093456,5.7471264
0.30241851,4.6923597
0.31412475,3.8269101
0.32605327,3.4617985
0.33820407,3.1507776
0.35057716,2.9479378
0.36317254,3.0425963
0.3759902,3.4077079
0.38903014,3.5564571
0.40229237,3.7052062
0.41577689,4.0973631
0.42948369,4.5436105
0.44341277,4.7329277
0.45756414,5.3279243
0.4719378,5.8688303
0.48653374,5.9770115
0.50135196,6.1798513
0.51639247,6.3015551
0.53165527,6.3691684
0.54714035,6.3556457
0.56284771,6.2880325
0.57877736,6.2745098
0.5949293,6.3015551
0.61130351,6.3286004
0.62790002,6.3150778
0.64471881,6.2880325
0.66175988,6.2339419
0.67902324,6.1257606
0.69650889,6.0311021
0.71421682,5.9770115
0.73214703,5.9364435
0.75029953,5.9634888
0.76867431,6.0040568
0.78727138,6.07167
0.80609074,6.1528059
0.82513238,6.1798513
0.8443963,6.1257606
0.86388251,6.0311021
0.883591,5.9770115
0.90352178,5.9499662
0.92367484,5.8958756
0.94405019,5.8823529
0.96464783,5.8688303
0.98546775,5.7606491
1.0065099,5.260311
1.0277744,4.8140636
1.0492612,4.6788371
1.0709703,4.3678161
1.0929016,4.1244084
1.1150552,3.908046
1.1374312,3.7457742
1.1600294,3.6646383
1.1828498,3.597025
1.2058926,3.6916836
1.2291577,3.9486139
1.252645,4.2461122
1.2763546,4.5977011
1.3002865,4.8816768
1.3244407,5.5442867
1.3488172,5.9364435
1.373416,6.5990534
1.398237,6.9100744
1.4232803,7.2616633
1.448546,7.6402975
1.4740339,7.8972279
1.4997441,8.0594997
1.5256765,8.1541582
1.5518313,8.1947262
1.5782083,8.1812035
1.6048077,7.8837052
1.6316293,7.4374577
1.6586732,7.0453009
1.6859393,6.5720081
1.7134278,5.9770115
1.7411386,5.6795132
1.7690716,4.9222448
1.7972269,4.6788371
1.8256045,4.3542934
1.8542044,3.8404327
1.8830266,3.5699797
1.9120711,3.5158891
1.9413378,3.4753212
1.9708268,3.4888438
2.0005382,3.5158891
2.0304718,3.5429344
2.0606277,3.867478
2.0910058,4.137931
2.1216063,4.5841785
2.152429,4.8411089
2.183474,5.3549696
2.2147414,5.8688303
2.246231,6.0987153
2.2779428,6.4367816
2.309877,6.7072346
2.3420335,6.9776876
2.3744122,7.0047329
2.4070132,7.0317782
2.4398365,7.0317782
2.4728821,6.9912103
2.50615,6.9506423
2.5396402,6.693712
2.5733526,6.5043949
2.6072873,6.1798513
2.6414443,5.8958756
2.6758236,5.841785
2.7104252,5.6118999
2.7452491,5.2873563
2.7802953,4.9763354
2.8155637,4.8546315
2.8510544,4.7870183
2.8867674,4.8681542
2.9227027,4.9222448
2.9588603,5.030426
2.9952402,5.0845166
3.0318423,5.2062204
3.0686668,5.3549696
3.1057135,5.530764
3.1429825,5.6930358
3.1804738,5.8282623
3.2181874,5.841785
3.2561232,5.8688303
3.2942814,5.8688303
3.3326618,5.8823529
3.3712645,5.8823529
3.4100895,5.8823529
3.4491368,5.8688303
3.4884064,5.8282623
3.5278982,5.801217
3.5676124,5.7471264
3.6075488,5.6254226
3.6477075,5.5442867
3.6880885,5.5172414
3.7286918,5.5442867
3.7695173,5.6254226
3.8105652,5.6795132
3.8518353,5.8147397
3.8933278,5.8823529
3.9350425,5.8823529
3.9769794,5.8958756
4.0191387,5.9905341
4.0615203,6.112238
4.1041241,6.2609872
4.1469503,6.2880325
4.1899987,6.3421231
4.2332694,6.382691
4.2767624,6.3015551
4.3204776,6.2745098
4.3644152,6.1528059
4.408575,5.9364435
4.4529571,5.8823529
4.4975616,5.841785
4.5423882,5.5983773
4.5874372,5.2738337
4.6327085,4.9357674
4.678202,4.7329277
4.7239179,4.7058824
4.769856,4.6923597
4.8160164,4.6788371
4.8623991,4.6923597
4.9090041,4.7058824
4.9558313,4.7058824
5.0028809,4.7058824
5.0501527,4.7870183
5.0976468,5.0169033
5.1453632,5.3549696
5.1933019,5.7336038
5.2414629,5.8823529
5.2898461,5.9499662
5.3384517,6.1798513
5.3872795,6.3691684
5.4363296,6.4773496
5.485602,6.5584855
5.5350967,6.6260987
5.5848136,6.6396214
5.6347529,6.653144
5.6849144,6.6396214
5.7352982,6.4773496
5.7859043,6.2745098
5.8367327,6.0040568
5.8877834,5.8823529
5.9390564,5.8823529
5.9905516,5.7876944
6.0422691,5.5037187
6.0942089,5.3549696
6.146371,5.1250845
6.1987554,5.0574713
6.2513621,5.0033807
6.304191,5.0033807
6.3572423,5.0574713
6.4105158,5.1115619
6.4640116,5.1656525
6.5177297,5.1656525
6.5716701,5.3414469
6.6258327,5.5037187
6.6802177,5.6389452
6.7348249,5.7200811
6.7896544,5.841785
6.8447062,5.8688303
6.8999803,5.8823529
6.9554767,5.8823529
7.0111954,5.8823529
7.0671363,5.8823529
7.1232995,5.8823529
7.179685,5.8823529
7.2362928,5.8553076
7.2931229,5.8553076
7.3501753,5.8282623
7.4074499,5.7606491
7.4649469,5.7200811
7.5226661,5.6118999
7.5806076,5.5578093
7.6387714,5.5578093
7.6971575,5.571332
7.7557658,5.6118999
7.8145965,5.7741717
7.8736494,5.8282623
7.9329246,5.8823529
7.9924221,5.8823529
8.0521419,5.8823529
8.112084,5.8823529
8.1722484,5.9093982
8.232635,5.8958756
8.2932439,5.9093982
8.3540751,5.8958756
8.4151286,5.8823529
8.4764044,5.8823529
8.5379025,5.8823529
8.5996228,5.8823529
8.6615655,5.8823529
8.7237304,5.8688303
8.7861176,5.7606491
8.8487271,5.6254226
8.9115589,5.4631508
8.9746129,5.3144016
9.0378893,5.2062204
9.1013879,5.1386072
9.1651088,5.1521298
9.229052,5.1521298
9.2932175,5.1521298
9.3576053,5.2738337
9.4222153,5.5578093
9.4870477,5.841785
9.5521023,5.7876944
9.6173792,5.8147397
9.6828784,5.8553076
9.7485999,5.8823529
9.8145437,5.9905341
9.8807097,6.1392833
9.947098,6.0581474
10.013709,5.9634888
10.080542,5.9905341
10.147597,6.1257606
10.214874,6.1528059
10.282374,5.9229209
10.350096,5.7876944
10.41804,5.8553076
10.486207,5.841785
10.554596,5.7336038
10.623207,5.4631508
10.692041,5.3684922
10.761096,5.3955375
10.830374,5.4631508
10.899875,5.3820149
10.969597,5.2332657
11.039542,5.1386072
11.109709,5.2197431
11.180099,5.5172414
11.250711,5.571332
11.321545,5.530764
11.392601,5.5442867
11.46388,5.7336038
11.53538,5.8688303
11.607104,5.8688303
11.679049,5.8553076
11.751217,5.8823529
11.823607,5.8823529
11.896219,5.8823529
11.969054,5.8823529
12.042111,5.8553076
12.11539,5.841785
12.188891,5.8688303
12.262615,5.8823529
12.336561,5.8823529
12.410729,5.8823529
12.48512,5.8823529
12.559733,5.8147397
12.634568,5.7336038
12.709625,5.5578093
12.784905,5.4766734
12.860407,5.530764
12.936131,5.7336038
13.012078,5.8282623
13.088247,5.841785
13.164638,5.841785
13.241252,5.8553076
13.318087,5.8553076
13.395145,5.8553076
13.472426,5.8688303
13.549928,5.8688303
13.627653,5.8823529
13.7056,5.8823529
13.78377,5.8823529
13.862161,5.8823529
13.940775,5.8823529
14.019612,5.8823529
14.09867,5.8688303
14.177951,5.8688303
14.257454,5.8688303
14.33718,5.801217
14.417127,5.7336038
14.497297,5.6254226
14.57769,5.530764
14.658304,5.4766734
14.739141,5.4766734
14.8202,5.530764
14.901482,5.5848546
14.982985,5.5983773
15.064711,5.5848546
15.14666,5.6254226
15.22883,5.7065585
15.311223,5.7876944
15.393838,5.8688303
15.476676,5.8823529
15.559735,5.8823529
15.643017,5.8823529
15.726522,5.8823529
15.810248,5.8823529
15.894197,5.8823529
15.978368,5.8823529
16.062762,5.8823529
16.147377,5.8823529
16.232215,5.8823529
16.317276,5.8823529
16.402558,5.8823529
16.488063,5.8688303
16.57379,5.801217
16.65974,5.7336038
16.745911,5.6389452
16.832305,5.6118999
16.918921,5.571332
17.00576,5.5578093
17.092821,5.530764
17.180104,5.5037187
17.267609,5.4901961
17.355337,5.5172414
17.443287,5.5578093
17.531459,5.6118999
17.619854,5.7336038
17.708471,5.7876944
17.79731,5.8147397
17.886371,5.8553076
17.975655,5.8823529
18.065161,5.8823529
18.154889,5.8823529
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8823529
18.606865,5.8823529
18.697927,5.8823529
18.789211,5.8823529
18.880717,5.8823529
18.972446,5.8553076
19.064397,5.8553076
19.156571,5.801217
19.248966,5.7471264
19.341584,5.7606491
19.434425,5.7336038
19.527487,5.7200811
19.620772,5.7741717
19.714279,5.7876944
19.808008,5.841785
19.90196,5.8688303
19.996134,5.8688303
20.09053,5.8823529
20.185149,5.8823529
20.27999,5.8823529
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8823529
20.757528,5.8823529
20.853703,5.8823529
20.950099,5.8823529
21.046718,5.8823529
21.14356,5.8688303
