M/Z,Intensity
-0.048255025,5.8823529
-0.043734458,5.8823529
-0.039436176,5.8823529
-0.035360179,5.831202
-0.031506467,5.831202
-0.02787504,5.8482523
-0.024465897,5.8823529
-0.02127904,5.8823529
-0.018314468,5.8823529
-0.015572181,5.7800512
-0.013052178,5.5072464
-0.010754461,5.5242967
-0.0086790284,5.370844
-0.0068258809,5.2855925
-0.0051950184,5.1321398
-0.0037864409,4.7740835
-0.0026001483,4.6717818
-0.0016361407,4.5524297
-0.00089441803,4.4160273
-0.00037498034,3.6828645
-7.7827607e-005,3.4953112
2.9598374e-006,2.8815004
0.00015037703,3.0520034
0.00052007918,4.3478261
0.0011120663,4.4842285
0.0019263384,4.8934356
0.0029628954,5.4390452
0.0042217374,5.8653026
0.0057028644,6.7519182
0.0074062763,6.7348679
0.0093319732,6.8201194
0.011479955,7.8090367
0.013850222,8.8661552
0.016442774,10.554135
0.01925761,11.321398
0.022294732,11.372549
0.025554139,11.372549
0.02903583,11.202046
0.032739807,9.6675192
0.036666069,7.945439
0.040814615,6.0358056
0.045185446,4.7911338
0.049778563,3.5123615
0.054593964,2.6086957
0.059631651,1.7391304
0.064891622,1.1253197
0.070373878,0.85251492
0.07607842,0.85251492
0.082005246,0.90366581
0.088154357,1.5004263
0.094525753,2.0801364
0.10111943,3.4953112
0.1079354,4.4842285
0.11497365,4.9616368
0.12223419,5.5242967
0.12971701,5.6436488
0.13742211,5.831202
0.1453495,5.8823529
0.15349918,5.9164535
0.16187114,6.513214
0.17046539,6.9565217
0.17928192,7.2804774
0.18832073,7.6726343
0.19758183,7.9965899
0.20706522,8.1841432
0.21677089,8.2011935
0.22669885,8.2182438
0.23684909,8.1670929
0.24722161,7.8942882
0.25781642,7.4509804
0.26863352,7.0588235
0.2796729,6.2915601
0.29093456,5.5583973
0.30241851,4.5524297
0.31412475,3.7340153
0.32605327,3.3930094
0.33820407,3.0179028
0.35057716,2.9497016
0.36317254,3.1202046
0.3759902,3.4953112
0.38903014,3.5123615
0.40229237,3.7851662
0.41577689,4.1773231
0.42948369,4.6206309
0.44341277,4.7911338
0.45756414,5.4390452
0.4719378,5.8653026
0.48653374,5.9846547
0.50135196,6.1551577
0.51639247,6.2915601
0.53165527,6.3597613
0.54714035,6.342711
0.56284771,6.2745098
0.57877736,6.2233589
0.5949293,6.2404092
0.61130351,6.2574595
0.62790002,6.2574595
0.64471881,6.2574595
0.66175988,6.2063086
0.67902324,6.1210571
0.69650889,6.0358056
0.71421682,5.9676044
0.73214703,5.9164535
0.75029953,5.9505541
0.76867431,6.0528559
0.78727138,6.1210571
0.80609074,6.1892583
0.82513238,6.172208
0.8443963,6.172208
0.86388251,6.1381074
0.883591,5.9676044
0.90352178,5.9505541
0.92367484,5.8994032
0.94405019,5.8823529
0.96464783,5.8653026
0.98546775,5.6777494
1.0065099,5.1832907
1.0277744,4.8252344
1.0492612,4.7058824
1.0709703,4.3648764
1.0929016,4.1432225
1.1150552,3.9045183
1.1374312,3.6999147
1.1600294,3.6146633
1.1828498,3.5805627
1.2058926,3.597613
1.2291577,3.887468
1.252645,4.2455243
1.2763546,4.6206309
1.3002865,4.9786871
1.3244407,5.6436488
1.3488172,5.9676044
1.373416,6.5984655
1.398237,6.9906223
1.4232803,7.3316283
1.448546,7.655584
1.4740339,7.9113384
1.4997441,8.1670929
1.5256765,8.2011935
1.5518313,8.2352941
1.5782083,8.1329923
1.6048077,7.8090367
1.6316293,7.3998295
1.6586732,6.9224211
1.6859393,6.513214
1.7134278,5.9335038
1.7411386,5.4731458
1.7690716,4.7570332
1.7972269,4.6035806
1.8256045,4.2796249
1.8542044,3.7681159
1.8830266,3.5464621
1.9120711,3.4953112
1.9413378,3.4612106
1.9708268,3.4953112
2.0005382,3.5123615
2.0304718,3.5294118
2.0606277,3.8363171
2.0910058,4.2114237
2.1216063,4.6547315
2.152429,4.8252344
2.183474,5.4049446
2.2147414,5.8823529
2.246231,6.1040068
2.2779428,6.3938619
2.309877,6.7348679
2.3420335,6.973572
2.3744122,7.0588235
2.4070132,7.0588235
2.4398365,7.0588235
2.4728821,7.0247229
2.50615,6.8201194
2.5396402,6.6325661
2.5733526,6.4109122
2.6072873,6.0699062
2.6414443,5.8823529
2.6758236,5.8482523
2.7104252,5.541347
2.7452491,5.2344416
2.7802953,5.0127877
2.8155637,4.9275362
2.8510544,4.8763853
2.8867674,4.8934356
2.9227027,5.029838
2.9588603,5.0809889
2.9952402,5.1832907
3.0318423,5.3026428
3.0686668,5.4049446
3.1057135,5.5583973
3.1429825,5.7289003
3.1804738,5.831202
3.2181874,5.8482523
3.2561232,5.8653026
3.2942814,5.8823529
3.3326618,5.8823529
3.3712645,5.8823529
3.4100895,5.8482523
3.4491368,5.831202
3.4884064,5.7630009
3.5278982,5.6436488
3.5676124,5.5924979
3.6075488,5.5583973
3.6477075,5.5072464
3.6880885,5.5072464
3.7286918,5.541347
3.7695173,5.5754476
3.8105652,5.6947997
3.8518353,5.8141517
3.8933278,5.8823529
3.9350425,5.8823529
3.9769794,5.9164535
4.0191387,6.0699062
4.0615203,6.1892583
4.1041241,6.2915601
4.1469503,6.342711
4.1899987,6.3768116
4.2332694,6.3768116
4.2767624,6.3256607
4.3204776,6.2404092
4.3644152,6.1210571
4.408575,5.9505541
4.4529571,5.8823529
4.4975616,5.7800512
4.5423882,5.4731458
4.5874372,5.1832907
4.6327085,4.9104859
4.678202,4.7570332
4.7239179,4.7058824
4.769856,4.7058824
4.8160164,4.7058824
4.8623991,4.6888321
4.9090041,4.7058824
4.9558313,4.7058824
5.0028809,4.7058824
5.0501527,4.7740835
5.0976468,5.0809889
5.1453632,5.4219949
5.1933019,5.7459506
5.2414629,5.8823529
5.2898461,5.9846547
5.3384517,6.1551577
5.3872795,6.3597613
5.4363296,6.4791134
5.485602,6.5643649
5.5350967,6.6496164
5.5848136,6.6666667
5.6347529,6.6496164
5.6849144,6.6325661
5.7352982,6.4450128
5.7859043,6.2404092
5.8367327,5.9676044
5.8877834,5.8653026
5.9390564,5.8653026
5.9905516,5.7800512
6.0422691,5.5072464
6.0942089,5.3026428
6.146371,5.1662404
6.1987554,5.0809889
6.2513621,5.0468883
6.304191,5.029838
6.3572423,5.0639386
6.4105158,5.0809889
6.4640116,5.1491901
6.5177297,5.3367434
6.5716701,5.4049446
6.6258327,5.541347
6.6802177,5.6265985
6.7348249,5.7630009
6.7896544,5.831202
6.8447062,5.8653026
6.8999803,5.8653026
6.9554767,5.8823529
7.0111954,5.8823529
7.0671363,5.8823529
7.1232995,5.8653026
7.179685,5.8823529
7.2362928,5.8823529
7.2931229,5.831202
7.3501753,5.7630009
7.4074499,5.6265985
7.4649469,5.6095482
7.5226661,5.541347
7.5806076,5.5072464
7.6387714,5.4901961
7.6971575,5.5242967
7.7557658,5.6095482
7.8145965,5.71185
7.8736494,5.831202
7.9329246,5.8823529
7.9924221,5.8823529
8.0521419,5.8823529
8.112084,5.8823529
8.1722484,5.8823529
8.232635,5.8994032
8.2932439,5.8994032
8.3540751,5.8994032
8.4151286,5.8823529
8.4764044,5.8823529
8.5379025,5.8823529
8.5996228,5.8823529
8.6615655,5.8482523
8.7237304,5.7971014
8.7861176,5.6436488
8.8487271,5.5072464
8.9115589,5.370844
8.9746129,5.2855925
9.0378893,5.200341
9.1013879,5.1321398
9.1651088,5.1491901
9.229052,5.1662404
9.2932175,5.1832907
9.3576053,5.370844
9.4222153,5.6095482
9.4870477,5.831202
9.5521023,5.7971014
9.6173792,5.8482523
9.6828784,5.7800512
9.7485999,5.8823529
9.8145437,6.0358056
9.8807097,6.1381074
9.947098,5.9335038
10.013709,5.9505541
10.080542,6.0187553
10.147597,6.1892583
10.214874,6.1381074
10.282374,5.8994032
10.350096,5.7971014
10.41804,5.831202
10.486207,5.8482523
10.554596,5.7971014
10.623207,5.4560955
10.692041,5.3026428
10.761096,5.4560955
10.830374,5.5754476
10.899875,5.4219949
10.969597,5.1662404
11.039542,5.2173913
11.109709,5.3537937
11.180099,5.4560955
11.250711,5.4560955
11.321545,5.4731458
11.392601,5.5754476
11.46388,5.7630009
11.53538,5.8653026
11.607104,5.8823529
11.679049,5.8653026
11.751217,5.8653026
11.823607,5.8823529
11.896219,5.8823529
11.969054,5.8823529
12.042111,5.8482523
12.11539,5.8482523
12.188891,5.8823529
12.262615,5.8823529
12.336561,5.8823529
12.410729,5.8823529
12.48512,5.8823529
12.559733,5.831202
12.634568,5.7289003
12.709625,5.5583973
12.784905,5.4731458
12.860407,5.5072464
12.936131,5.6777494
13.012078,5.7800512
13.088247,5.8482523
13.164638,5.8482523
13.241252,5.8653026
13.318087,5.8823529
13.395145,5.8823529
13.472426,5.8823529
13.549928,5.8823529
13.627653,5.8823529
13.7056,5.8823529
13.78377,5.8823529
13.862161,5.8653026
13.940775,5.8482523
14.019612,5.8653026
14.09867,5.8653026
14.177951,5.8653026
14.257454,5.8482523
14.33718,5.831202
14.417127,5.7459506
14.497297,5.6606991
14.57769,5.541347
14.658304,5.4731458
14.739141,5.4731458
14.8202,5.5072464
14.901482,5.5924979
14.982985,5.6095482
15.064711,5.6095482
15.14666,5.6947997
15.22883,5.7800512
15.311223,5.8653026
15.393838,5.8823529
15.476676,5.8823529
15.559735,5.8823529
15.643017,5.8823529
15.726522,5.8823529
15.810248,5.8823529
15.894197,5.8823529
15.978368,5.8823529
16.062762,5.8823529
16.147377,5.8823529
16.232215,5.8823529
16.317276,5.8823529
16.402558,5.8653026
16.488063,5.8653026
16.57379,5.8482523
16.65974,5.8141517
16.745911,5.7800512
16.832305,5.7289003
16.918921,5.6436488
17.00576,5.541347
17.092821,5.5072464
17.180104,5.5242967
17.267609,5.5583973
17.355337,5.5924979
17.443287,5.6265985
17.531459,5.71185
17.619854,5.7630009
17.708471,5.831202
17.79731,5.8482523
17.886371,5.8823529
17.975655,5.8823529
18.065161,5.8823529
18.154889,5.8823529
18.24484,5.8823529
18.335013,5.8823529
18.425408,5.8823529
18.516025,5.8823529
18.606865,5.8823529
18.697927,5.8823529
18.789211,5.8823529
18.880717,5.8653026
18.972446,5.8482523
19.064397,5.831202
19.156571,5.7971014
19.248966,5.8141517
19.341584,5.7971014
19.434425,5.7800512
19.527487,5.831202
19.620772,5.831202
19.714279,5.8482523
19.808008,5.8823529
19.90196,5.8823529
19.996134,5.8823529
20.09053,5.8823529
20.185149,5.8823529
20.27999,5.8823529
20.375053,5.8823529
20.470338,5.8823529
20.565846,5.8823529
20.661576,5.8823529
20.757528,5.8823529
20.853703,5.8823529
20.950099,5.8823529
21.046718,5.8823529
21.14356,5.8653026
