M/Z,Intensity
-0.048255025,5.8823529
-0.043734458,5.8784314
-0.039436176,5.8745098
-0.035360179,5.8156863
-0.031506467,5.8352941
-0.02787504,5.8588235
-0.024465897,5.8745098
-0.02127904,5.8745098
-0.018314468,5.8784314
-0.015572181,5.8196078
-0.013052178,5.5098039
-0.010754461,5.4823529
-0.0086790284,5.3411765
-0.0068258809,5.2823529
-0.0051950184,5.1098039
-0.0037864409,4.7803922
-0.0026001483,4.7019608
-0.0016361407,4.5882353
-0.00089441803,4.4392157
-0.00037498034,3.7058824
-7.7827607e-005,3.5254902
2.9598374e-006,2.8313725
0.00015037703,3.0901961
0.00052007918,4.3333333
0.0011120663,4.4784314
0.0019263384,4.9764706
0.0029628954,5.5137255
0.0042217374,5.9058824
0.0057028644,6.7098039
0.0074062763,6.6666667
0.0093319732,6.7215686
0.011479955,7.7764706
0.013850222,8.9568627
0.016442774,10.65098
0.01925761,11.345098
0.022294732,11.376471
0.025554139,11.372549
0.02903583,11.129412
0.032739807,9.5137255
0.036666069,7.8352941
0.040814615,6
0.045185446,4.7686275
0.049778563,3.5372549
0.054593964,2.6352941
0.059631651,1.7294118
0.064891622,1.0941176
0.070373878,0.74901961
0.07607842,0.78039216
0.082005246,0.83921569
0.088154357,1.5372549
0.094525753,2.2901961
0.10111943,3.5333333
0.1079354,4.5921569
0.11497365,5.0117647
0.12223419,5.4
0.12971701,5.5960784
0.13742211,5.8235294
0.1453495,5.8980392
0.15349918,6.1058824
0.16187114,6.6039216
0.17046539,6.9882353
0.17928192,7.2196078
0.18832073,7.5764706
0.19758183,7.8823529
0.20706522,8.0588235
0.21677089,8.1058824
0.22669885,8.145098
0.23684909,8.1058824
0.24722161,7.9294118
0.25781642,7.4627451
0.26863352,6.9294118
0.2796729,6.1411765
0.29093456,5.4039216
0.30241851,4.5764706
0.31412475,3.7490196
0.32605327,3.4627451
0.33820407,3.2078431
0.35057716,3.0901961
0.36317254,3.1882353
0.3759902,3.4392157
0.38903014,3.5411765
0.40229237,3.7568627
0.41577689,4.1764706
0.42948369,4.6235294
0.44341277,4.8705882
0.45756414,5.5333333
0.4719378,5.8823529
0.48653374,6
0.50135196,6.1882353
0.51639247,6.3254902
0.53165527,6.3333333
0.54714035,6.3019608
0.56284771,6.2745098
0.57877736,6.2745098
0.5949293,6.2823529
0.61130351,6.2823529
0.62790002,6.2705882
0.64471881,6.2313725
0.66175988,6.1490196
0.67902324,6.0352941
0.69650889,6.0156863
0.71421682,5.9882353
0.73214703,5.9764706
0.75029953,6.0235294
0.76867431,6.0901961
0.78727138,6.1686275
0.80609074,6.2352941
0.82513238,6.2509804
0.8443963,6.2039216
0.86388251,6.172549
0.883591,6.1098039
0.90352178,6.0392157
0.92367484,5.9254902
0.94405019,5.8862745
0.96464783,5.8666667
0.98546775,5.5960784
1.0065099,5.1960784
1.0277744,4.7490196
1.0492612,4.6431373
1.0709703,4.3137255
1.0929016,4.0509804
1.1150552,3.8156863
1.1374312,3.6509804
1.1600294,3.5529412
1.1828498,3.5372549
1.2058926,3.6156863
1.2291577,3.945098
1.252645,4.2941176
